name,boss_num,prog_time,guild_name
Lady Inerva Darkvein,5,0.06072,ECHOlogica
The Council of Blood,6,0.02292,ECHOlogica
Shriekwing,0,0.0669,Pandora
Huntsman Altimor,1,0.77472,Pandora
Hungering Destroyer,2,1.22371,Pandora
Sun King's Salvation,3,0.19197,Pandora
Artificer Xy'mox,4,0.66071,Pandora
Lady Inerva Darkvein,5,0.09514,Pandora
The Council of Blood,6,4.71608,Pandora
Sludgefist,7,5.95515,Pandora
Stone Legion Generals,8,24.16448,Pandora
Sire Denathrius,9,31.77631,Pandora
Shriekwing,0,0.23715,new meta
Huntsman Altimor,1,1.08315,new meta
Hungering Destroyer,2,1.53856,new meta
Sun King's Salvation,3,1.06129,new meta
Artificer Xy'mox,4,3.66354,new meta
Lady Inerva Darkvein,5,2.86486,new meta
The Council of Blood,6,9.42053,new meta
Sludgefist,7,0.0185,new meta
Shriekwing,0,0.44779,First Try
Huntsman Altimor,1,1.25122,First Try
Hungering Destroyer,2,3.74425,First Try
Sun King's Salvation,3,4.64661,First Try
Artificer Xy'mox,4,0.03703,First Try
Lady Inerva Darkvein,5,3.07727,First Try
Shriekwing,0,3.16835,Shadow
Huntsman Altimor,1,1.08281,Shadow
Hungering Destroyer,2,1.44504,Shadow
Sun King's Salvation,3,1.91878,Shadow
Artificer Xy'mox,4,0.84193,Shadow
Lady Inerva Darkvein,5,1.6941,Shadow
The Council of Blood,6,9.73004,Shadow
Sludgefist,7,10.67435,Shadow
Stone Legion Generals,8,20.19766,Shadow
Sire Denathrius,9,29.31697,Shadow
Shriekwing,0,0.30686,Ringelback
Huntsman Altimor,1,2.05957,Ringelback
Hungering Destroyer,2,2.99697,Ringelback
Sun King's Salvation,3,0.59422,Ringelback
Artificer Xy'mox,4,0.0448,Ringelback
Lady Inerva Darkvein,5,2.65885,Ringelback
Shriekwing,0,1.69804,Gandalfs Änglar
Huntsman Altimor,1,1.57239,Gandalfs Änglar
Hungering Destroyer,2,2.73156,Gandalfs Änglar
Sun King's Salvation,3,0.02971,Gandalfs Änglar
Lady Inerva Darkvein,5,2.64961,Gandalfs Änglar
Shriekwing,0,1.02173,Demise
Huntsman Altimor,1,2.60764,Demise
Hungering Destroyer,2,3.58906,Demise
Sun King's Salvation,3,1.5199,Demise
Artificer Xy'mox,4,8.20597,Demise
Lady Inerva Darkvein,5,3.95006,Demise
The Council of Blood,6,10.41076,Demise
Sludgefist,7,8.83765,Demise
Stone Legion Generals,8,17.88051,Demise
Sire Denathrius,9,27.6787,Demise
Shriekwing,0,3.00136,Eternal Kingdom
Huntsman Altimor,1,1.19097,Eternal Kingdom
Hungering Destroyer,2,6.53416,Eternal Kingdom
Sun King's Salvation,3,6.83505,Eternal Kingdom
Artificer Xy'mox,4,6.32721,Eternal Kingdom
Lady Inerva Darkvein,5,4.73631,Eternal Kingdom
The Council of Blood,6,14.43383,Eternal Kingdom
Sludgefist,7,5.12005,Eternal Kingdom
Stone Legion Generals,8,23.01728,Eternal Kingdom
Sire Denathrius,9,85.25791,Eternal Kingdom
Shriekwing,0,0.54184,Taken
Huntsman Altimor,1,0.37012,Taken
Hungering Destroyer,2,0.29337,Taken
Sun King's Salvation,3,0.65613,Taken
Artificer Xy'mox,4,2.28042,Taken
Lady Inerva Darkvein,5,2.25694,Taken
The Council of Blood,6,0.02626,Taken
Sludgefist,7,0.07363,Singularity
Sire Denathrius,9,47.08495,Singularity
Shriekwing,0,1.0491,Legio Getica
Huntsman Altimor,1,0.80599,Legio Getica
Hungering Destroyer,2,4.82304,Legio Getica
Sun King's Salvation,3,3.75482,Legio Getica
Artificer Xy'mox,4,2.703,Legio Getica
Lady Inerva Darkvein,5,1.80265,Legio Getica
Shriekwing,0,0.48865,Stand On X
Huntsman Altimor,1,2.10929,Stand On X
Hungering Destroyer,2,26.64296,Stand On X
Sun King's Salvation,3,0.98536,Stand On X
Artificer Xy'mox,4,3.9674,Stand On X
Lady Inerva Darkvein,5,1.55063,Stand On X
The Council of Blood,6,52.53722,Stand On X
Sludgefist,7,30.24763,Stand On X
Stone Legion Generals,8,61.5248,Stand On X
Sire Denathrius,9,181.27363,Stand On X
Shriekwing,0,0.9241,Divine Retribution
Huntsman Altimor,1,1.30995,Divine Retribution
Hungering Destroyer,2,6.25397,Divine Retribution
Sun King's Salvation,3,10.33979,Divine Retribution
Artificer Xy'mox,4,7.81548,Divine Retribution
Lady Inerva Darkvein,5,4.83688,Divine Retribution
The Council of Blood,6,0.0165,Divine Retribution
Shriekwing,0,0.16296,Pajala Sunrise
Huntsman Altimor,1,0.36141,Pajala Sunrise
Hungering Destroyer,2,2.20673,Pajala Sunrise
Sun King's Salvation,3,1.18049,Pajala Sunrise
Artificer Xy'mox,4,2.89535,Pajala Sunrise
Lady Inerva Darkvein,5,3.80993,Pajala Sunrise
The Council of Blood,6,3.94883,Pajala Sunrise
Sludgefist,7,5.42958,Pajala Sunrise
